imoNumber,vesselName,deadweight,Source
9795634,COSCO SHIPPING GALAXY,198070,https://www.maritime-database.com/vessel.php?vid=10272
9958767,AAL HAMBURG,32517,https://schoeller-holdings.com/fleet/aal-hamburg-2/
9936393,ONE FUTURE,160000,https://maritimeoptima.com/public/vessels/pages/imo:9936393/mmsi:477945100/ONE_FUTURE.html
9783461,COSCO SHIPPING VIRGO,194864,https://www.hafen-hamburg.de/en/vessels/cosco-shipping-virgo-47826/
9783514,COSCO SHIPPING CAPRICORN,196670,https://www.hafen-hamburg.de/en/vessels/cosco-shipping-capricorn-47896/
9820855,EVER GRADE,198886,https://maritimeoptima.com/public/vessels/pages/imo:9820855/mmsi:357463000/EVER_GRADE.html
9783502,COSCO SHIPPING LEO,197061,https://maritime-database.com/vessel.php?vid=33566
9340582,M BRIGIT,29017,https://www.balticshipping.com/vessel/imo/9340582
9783473,COSCO SHIPPING SAGITTARIUS,202133,https://www.balticshipping.com/vessel/imo/9783473
9893979,EVER APEX,241000,https://gard.no/vessels/502508/
9789635,COSCO SHIPPING SCORPIO,196913,https://maritime-database.com/vessel.php?vid=49257
9567714,YAMATAI,19818,https://maritime-database.com/vessel.php?vid=80353
9405033,NORTHERN DIAMOND,42054,https://maritime-database.com/vessel.php?vid=732
9302152,ONE HARBOUR,98849,https://www.balticshipping.com/vessel/imo/9302152
9783526,COSCO SHIPPING GEMINI,202014,https://www.balticshipping.com/vessel/imo/9783526
9893993,EVER ATOP,241816,https://magicport.ai/vessels/container/ever-atop-mmsi-563166100
9893955,EVER ALOT,224982,https://magicport.ai/vessels/container/ever-alot-mmsi-352001259
9234331,XIN DA LIAN,69023,https://www.balticshipping.com/vessel/imo/9234331
9312810,NYK VIRGO,103284,https://www.balticshipping.com/vessel/imo/9312810
9437050,GSL TINOS,65741,https://www.balticshipping.com/vessel/imo/9437050
9379038,HARRIS,40960,https://maritimeoptima.com/public/vessels/pages/imo:9379038/mmsi:563832000/HARRIS.html
9312987,ONE OLYMPUS,104525,https://www.balticshipping.com/vessel/imo/9312987
9645798,PIS SUMATERA,49990,https://maritimeoptima.com/public/vessels/pages/imo:9645798/mmsi:563185000/PIS_SUMATERA.html
9737486,TOLEDO TRIUMPH,146791,https://www.scheepvaartwest.be/CMS/index.php/containerships/11806-toledo-triumph-imo-9737486
9919216,ALPHA TREASURE,209260,https://maritimeoptima.com/public/vessels/pages/imo:9919216/mmsi:538009506/ALPHA_TREASURE.html
9933119,ONE INTEGRITY,225219,https://www.shipspotting.com/photos/3581577?page=1&navList=mostPopular&timestamp=1687227900&days=1
9783538,COSCO SHIPPING LIBRA,201823,https://www.balticshipping.com/vessel/imo/9783538
9795658,COSCO SHIPPING STAR,215553,https://www.balticshipping.com/vessel/imo/9795658
9302164,HUMEN BRIDGE,98849,https://www.balticshipping.com/vessel/imo/9302164
9543108,DAMIETTA EXPRESS,224999,https://www.shipspotting.com/photos/3743149?navList=moreOfThisShip&callSign=DFPD2&page=1&viewType=normal&sortBy=newest&perPage=8&imo=9543108&lid=3771230
9795610,COSCO SHIPPING UNIVERSE,198485,https://www.balticshipping.com/vessel/imo/9795610
9588079,ONE HONOLULU,96980,https://www.balticshipping.com/vessel/imo/9588079
9783497,COSCO SHIPPING ARIES,197021,https://www.balticshipping.com/vessel/imo/9783497
9313008,ONE ORPHEUS,104525,https://www.balticshipping.com/vessel/imo/9313008
9718686,VULCANIA,82036,https://www.balticshipping.com/vessel/imo/9718686
9943267,EVER ACME,241816,https://www.shipspotting.com/photos/3774055?navList=moreOfThisShip&title=AMARANTHUS&page=1&viewType=normal&sortBy=newest&perPage=8&imo=9943267&lid=3736861
9810226,HAFNIA PACIFIC,49614,https://www.shipspotting.com/photos/3583561?navList=moreOfThisShip&perPage=8&page=2&imo=9810226&lid=3589777
9933121,ONE INTELLIGENCE,225219,https://www.shipspotting.com/photos/3682240?page=1&navList=moreOfThisShip&days=1&perPage=8&imo=9933121&lid=3677291
9922524,OOCL ABU DHABI,224915,https://www.marinetraffic.org/ship-owner-manager-ism-data/OOCL%20ABU%20DHABI/9922524/477929200
9913236,PACIFIC VITALITY,61670,https://maritimeoptima.com/public/vessels/pages/imo:9913236/mmsi:477836200/PACIFIC_VITALITY.html
9395159,ONE HAMBURG,98849,https://www.balticshipping.com/vessel/imo/9395159
9706889,CMA CGM VASCO DE GAMA,184700,https://www.balticshipping.com/vessel/imo/9706889
9465966,TORM ALICE,49999,https://www.balticshipping.com/vessel/imo/9465966